id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1194721469542158337,1194718576588001280,1573678769000,2019-11-13,21:59:29,CET,1978864836,nikpalm64,Nik 🌈,,"Preferisco pagare, i programmi RAI e Mediaset 🤮😁",[],[],[],0,0,0,[],[],https://twitter.com/nikpalm64/status/1194721469542158337,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}]",,,,
1194721259256524800,1194718576588001280,1573678719000,2019-11-13,21:58:39,CET,1978864836,nikpalm64,Nik 🌈,,"Io e lo sport siamo lontanissimi 😁 serie tv, americane logicamente e reality sulla cucina",[],[],[],0,0,0,[],[],https://twitter.com/nikpalm64/status/1194721259256524800,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}]",,,,
1194720730396659717,1194719913354694656,1573678593000,2019-11-13,21:56:33,CET,1978864836,nikpalm64,Nik 🌈,,"Forza Nicolò, un in bocca al lupo a te e tutta la tua famiglia. 💪💪💪",['nick_tyrell95'],[],[],0,0,2,[],[],https://twitter.com/nikpalm64/status/1194720730396659717,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}, {'user_id': '1100384651997270016', 'username': 'Nick_Tyrell95'}]",,,,
1194719631367380997,1194719631367380997,1573678331000,2019-11-13,21:52:11,CET,372937945,leonemaschio,Florio Savino 🦁,,Quel cuore fai un soffritto con la cipolla. https://twitter.com/Rassegne_Italia/status/1194288046881017856 …,[],['https://twitter.com/Rassegne_Italia/status/1194288046881017856'],[],0,1,1,[],[],https://twitter.com/leonemaschio/status/1194719631367380997,False,https://twitter.com/Rassegne_Italia/status/1194288046881017856,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194719588522565632,1194560201665449985,1573678321000,2019-11-13,21:52:01,CET,837387974224543744,francotaratufo2,Franco Taratufolo,,"La bancarotta l'hai fatta tu, strunz?",['peterpafio'],[],[],0,0,0,[],[],https://twitter.com/francotaratufo2/status/1194719588522565632,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '837387974224543744', 'username': 'francotaratufo2'}, {'user_id': '2884126876', 'username': 'peterpafio'}]",,,,
1194719479395225601,1194695576224509957,1573678295000,2019-11-13,21:51:35,CET,1978864836,nikpalm64,Nik 🌈,,Appunto,"['russodelmonte', 'ilmici8']",[],[],0,0,0,[],[],https://twitter.com/nikpalm64/status/1194719479395225601,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}, {'user_id': '3882448535', 'username': 'russodelmonte'}, {'user_id': '1155069798', 'username': 'IlMici8'}]",,,,
1194719228827512833,1194718576588001280,1573678235000,2019-11-13,21:50:35,CET,1978864836,nikpalm64,Nik 🌈,,"Ne l'una, ne l'altra. Solo Sky",[],[],[],0,0,2,[],[],https://twitter.com/nikpalm64/status/1194719228827512833,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1978864836', 'username': 'nikpalm64'}]",,,,
1194719095012413442,1194719095012413442,1573678203000,2019-11-13,21:50:03,CET,372937945,leonemaschio,Florio Savino 🦁,,Il 🤡 è stato messo a quel posto. https://twitter.com/schumacher_jorg/status/1194687899981287428 …,[],['https://twitter.com/schumacher_jorg/status/1194687899981287428'],[],0,1,2,[],[],https://twitter.com/leonemaschio/status/1194719095012413442,False,https://twitter.com/schumacher_jorg/status/1194687899981287428,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194719081217310720,1194716235013017600,1573678200000,2019-11-13,21:50:00,CET,2892254642,guagnano_paolo,Paolo Guagnano,,Buona serata notte angeles sogni d'oro ciao,['ampomata'],[],[],1,0,1,[],[],https://twitter.com/guagnano_paolo/status/1194719081217310720,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '2892254642', 'username': 'guagnano_paolo'}, {'user_id': '952599899782164480', 'username': 'ampomata'}]",,,,
1194718549614514177,1194718549614514177,1573678073000,2019-11-13,21:47:53,CET,372937945,leonemaschio,Florio Savino 🦁,,Pagliacciata https://twitter.com/valy_s/status/1194716582305566720 …,[],['https://twitter.com/valy_s/status/1194716582305566720'],[],0,0,1,[],[],https://twitter.com/leonemaschio/status/1194718549614514177,False,https://twitter.com/valy_s/status/1194716582305566720,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
